Year,Accounts Receivable,Inventory,Accounts Payable,Net Working Capital,Change in NWC
Year 0,47945.20547945205,46232.87671232877,30821.91780821918,63356.16438356164,
Year 1,55136.98630136986,53167.808219178085,35445.20547945205,72859.5890410959,9503.424657534255
Year 2,61753.424657534255,56901.36986301371,39698.630136986314,78956.16438356164,6096.575342465745
Year 3,65987.94520547947,61135.890410958935,45124.109589041116,81999.7260273973,3043.561643835652
Year 4,69170.89315068496,62882.63013698632,50306.10410958906,81747.4191780822,-252.30684931509313
Year 5,71099.29380821921,63322.80854794524,53324.47035616441,81097.63200000004,-649.7871780821588
